mean_neighborhood_age,my_tendency_to_move,neighborhood_isolation,distance_from_home_patch,mean_home_utility_of_neighborhood,calc_fraction_of_friends
0.010263788129338258,0.014147685921068742,0.010004005142606354,0.013730828371906645,0.028038861174294327,0.12633342412973503
0.006813919615546005,0.013463032184218848,0.010754462448456903,0.017312693305828186,0.03340670752444307,0.09041854327193288
0.008355272644120282,0.013547383732934737,0.013343914076774932,0.015430451763498887,0.026471502576456696,0.10917989915027382
0.007501837387590693,0.010620536781434264,0.01331285539893512,0.012501414736006633,0.03179000080865346,0.10866598031737384
0.0030551981724908917,0.014166731522828213,0.006724030468110986,0.012881376049658999,0.03825916700372467,0.12894841366435073
0.00779247667595917,0.007793219528098638,0.018805879572209028,0.012425224774534449,0.03427957509307311,0.12134913561315452
0.006448753506213101,0.012998934938253992,0.01341985343389962,0.011357827463772008,0.03579706502198543,0.13102345666065462
0.010292023767328518,0.006511090269884945,0.01206364874256649,0.009567434741456604,0.033883891861442694,0.12446735843081835
0.005768111166055356,0.01436823138593768,0.011211796904813998,0.022435026984234385,0.03546320919418555,0.10491540533011812
0.005815738820536653,0.01373669710231551,0.014133010812903968,0.006000944237672057,0.026005792518795645,0.11346260470890568
